frame,vertice,x,y
379,1,484,1100
379,2,336,1012
379,3,0,196
379,4,552,144
380,0,656,1068
380,1,476,1096
380,2,336,1012
380,3,0,196
380,4,552,144
381,0,656,1068
381,1,476,1096
381,2,336,1012
381,3,0,196
381,4,552,144
382,0,656,1068
382,1,476,1096
382,2,336,1012
382,3,0,196
382,4,552,144
383,0,656,1068
383,1,476,1096
383,2,336,1012
383,3,0,196
383,4,552,144
384,0,656,1068
384,1,476,1096
384,2,336,1012
384,3,0,196
384,4,552,144
385,0,656,1068
385,1,476,1096
385,2,336,1012
385,3,0,196
385,4,552,144
386,0,656,1068
386,1,476,1096
386,2,336,1012
386,3,0,196
386,4,552,144
387,0,656,1068
387,1,476,1096
387,2,336,1012
387,3,0,196
387,4,552,144
388,0,656,1068
388,1,476,1096
388,2,336,1012
388,3,0,196
388,4,552,144
389,0,656,1068
389,1,476,1096
389,2,336,1012
389,3,0,196
389,4,552,144
390,0,648,1072
390,1,476,1096
390,2,308,1012
390,3,248,288
390,4,352,160
390,5,556,152
391,0,648,1072
391,1,476,1096
391,2,308,1012
391,3,248,288
391,4,352,160
391,5,556,152
392,0,648,1072
392,1,476,1096
392,2,308,1012
392,3,248,288
392,4,352,160
392,5,556,152
393,0,648,1072
393,1,476,1096
393,2,308,1012
393,3,248,288
393,4,352,160
393,5,556,152
394,0,648,1072
394,1,476,1096
394,2,308,1012
394,3,248,288
394,4,352,160
394,5,556,152
395,0,648,1072
395,1,476,1096
395,2,308,1012
395,3,248,288
395,4,352,160
395,5,556,152
396,0,648,1072
396,1,476,1096
396,2,308,1012
396,3,248,288
396,4,352,160
396,5,556,152
397,0,648,1072
397,1,476,1096
397,2,308,1012
397,3,248,288
397,4,352,160
397,5,556,152
398,0,648,1072
398,1,476,1096
398,2,308,1012
398,3,248,288
398,4,352,160
398,5,556,152
399,0,648,1072
399,1,476,1096
399,2,308,1012
399,3,248,288
399,4,352,160
399,5,556,152
400,0,660,1068
400,1,484,1100
400,2,336,1012
400,3,0,196
400,4,552,144
401,0,660,1068
401,1,484,1100
401,2,336,1012
401,3,0,196
401,4,552,144
402,0,660,1068
402,1,484,1100
402,2,336,1012
402,3,0,196
402,4,552,144
403,0,660,1068
403,1,484,1100
403,2,336,1012
403,3,0,196
403,4,552,144
404,0,660,1068
404,1,484,1100
404,2,336,1012
404,3,0,196
404,4,552,144
405,0,660,1068
405,1,484,1100
405,2,336,1012
405,3,0,196
405,4,552,144
406,0,660,1068
406,1,484,1100
406,2,336,1012
406,3,0,196
406,4,552,144
407,0,660,1068
407,1,484,1100
407,2,336,1012
407,3,0,196
407,4,552,144
408,0,660,1068
408,1,484,1100
408,2,336,1012
408,3,0,196
408,4,552,144
409,0,660,1068
409,1,484,1100
409,2,336,1012
409,3,0,196
409,4,552,144
410,0,660,1068
410,1,484,1100
410,2,336,1012
410,3,0,200
410,4,552,144
411,0,660,1068
411,1,484,1100
411,2,336,1012
411,3,0,200
411,4,552,144
412,0,660,1068
412,1,484,1100
412,2,336,1012
412,3,0,200
412,4,552,144
413,0,660,1068
413,1,484,1100
413,2,336,1012
413,3,0,200
413,4,552,144
414,0,660,1068
414,1,484,1100
414,2,336,1012
414,3,0,200
414,4,552,144
415,0,660,1068
415,1,484,1100
415,2,336,1012
415,3,0,200
415,4,552,144
416,0,660,1068
416,1,484,1100
416,2,336,1012
416,3,0,200
416,4,552,144
417,0,660,1068
417,1,484,1100
417,2,336,1012
417,3,0,200
417,4,552,144
418,0,660,1068
418,1,484,1100
418,2,336,1012
418,3,0,200
418,4,552,144
419,0,660,1068
419,1,484,1100
419,2,336,1012
419,3,0,200
419,4,552,144
420,0,648,1072
420,1,484,1100
420,2,336,1008
420,3,252,296
420,4,328,164
420,5,556,148
421,0,648,1072
421,1,484,1100
421,2,336,1008
421,3,252,296
421,4,328,164
421,5,556,148
422,0,648,1072
