frame,id_objeto,equipo,pixel_x,pixel_y,cenital_x,cenital_y
131,robot_1,0,532,128,-10,11
131,robot_2,1,315,928,362,165
132,robot_0,0,584,964,391,37
132,robot_1,0,535,129,-10,9
132,robot_2,1,315,928,362,165
133,robot_0,0,584,960,390,36
133,robot_1,0,538,129,-10,8
133,robot_2,1,315,928,362,165
134,robot_0,0,589,962,391,34
134,robot_1,0,540,129,-9,6
134,robot_2,1,315,928,362,165
135,robot_0,0,596,967,393,31
135,robot_1,0,560,100,-25,-6
135,robot_2,1,315,928,362,165
136,robot_0,0,601,969,394,29
136,robot_1,0,545,131,-8,4
136,robot_2,1,315,928,362,165
137,robot_0,0,612,979,399,24
137,robot_1,0,550,131,-8,1
137,robot_2,1,315,928,362,165
138,robot_0,0,617,983,400,22
138,robot_1,0,555,130,-8,-1
138,robot_2,1,315,928,362,165
139,robot_0,0,621,988,403,20
139,robot_1,0,558,128,-9,-3
139,robot_2,1,315,928,362,165
140,robot_0,0,626,993,405,18
140,robot_1,0,560,126,-10,-4
140,robot_2,1,315,928,362,165
141,robot_0,0,632,1002,409,16
141,robot_1,0,560,125,-11,-5
141,robot_2,1,315,928,362,165
142,robot_0,0,637,1010,412,14
142,robot_1,0,575,94,-28,-16
142,robot_2,1,315,928,362,165
143,robot_0,0,642,1018,416,12
143,robot_1,0,562,117,-15,-6
143,robot_2,1,315,928,362,165
144,ball,-1,596,132,-5,-25
144,robot_0,0,634,1014,414,15
144,robot_1,0,565,111,-18,-9
144,robot_2,1,315,928,362,165
145,robot_0,0,633,1019,416,16
145,robot_1,0,569,106,-21,-11
145,robot_2,1,315,928,362,165
146,robot_0,0,632,1025,418,17
146,robot_1,0,574,102,-23,-15
146,robot_2,1,315,928,362,165
147,robot_0,0,629,1031,420,19
147,robot_1,0,577,100,-24,-16
147,robot_2,1,315,928,362,165
148,robot_0,0,626,1037,422,20
148,robot_1,0,578,101,-24,-17
148,robot_2,1,315,928,362,165
149,robot_0,0,631,1054,429,19
149,robot_1,0,582,100,-24,-19
149,robot_2,1,315,928,362,165
150,ball,-1,671,1078,440,1
150,robot_0,0,622,1051,427,23
150,robot_1,0,583,98,-25,-20
150,robot_2,1,315,928,362,165
151,ball,-1,673,1079,441,1
151,robot_0,0,624,1061,431,23
